,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15,Comp.16,Comp.17,Comp.18,Comp.19,Comp.20,Comp.21,Comp.22,Comp.23,Comp.24,Comp.25,Comp.26,Comp.27,Comp.28,Comp.29,Comp.30,Comp.31,Comp.32,Comp.33,Comp.34,Comp.35,Comp.36,Comp.37,Comp.38,Comp.39,Comp.40,Comp.41,Comp.42,Comp.43,Comp.44,Comp.45
Away_Avg_HT_Goal_Scored,-0.113608506,-0.19364464,0.332837455,-0.075405122,0.012237071,-0.03186141,0.001908447,-0.090948709,0.065169399,0.027751056,0.132063627,0.058788217,-0.049281716,-0.088521443,0.090808284,-0.002419096,-0.061757121,0.037353756,-0.11416559,-0.157519137,-0.154187822,0.501085743,0.339538607,0.034191659,-0.017661377,0.089386987,-0.00120742,0.039754802,-0.093388602,-0.006110129,0.045483109,-0.081954156,0.005561719,-0.277353259,-0.189086595,-0.036939862,0.312972345,-0.002288392,0.005882423,0.125570684,0.272417123,-0.070880342,-0.101515513,0.002275847,-0.00885737
Away_Avg_Corner_Diff,-0.112647712,-0.177798834,-0.389253879,0.162143092,-0.01787804,0.037575072,-0.038530037,-0.079015047,0.048351293,-0.002638283,-0.055609543,-0.062620016,0.009022002,0.101317486,0.068236667,0.021746595,-0.002420445,0.100291243,-0.050956275,-0.182027147,-0.338360364,0.105325047,-0.064602592,0.006930224,0.004236793,-0.023152931,-0.229375908,0.086884102,-0.068883289,0.022755543,0.251123613,-0.353678167,-0.109081756,0.012197947,-0.037971305,0.449374237,-0.253498523,-0.107496212,-0.012038321,0.062752427,0.09239219,0.064549358,0.051548015,-0.009912052,0.055526351
Away_Avg_Corners,-0.100261671,-0.159579701,-0.383879679,0.173720816,-0.023351615,0.033524163,-0.01999759,-0.116126359,0.044765798,-0.0237551,-0.080712845,-0.067812758,-0.047325922,0.069769039,0.067461493,0.032068412,-0.023670651,0.111016618,-0.101937367,-0.24172663,-0.427214533,0.057133876,-0.118664197,0.025767742,-0.057180615,-0.189583686,0.119350887,-0.093083984,0.104651481,0.091806082,-0.262192361,0.341149276,0.089494639,-0.011843154,0.031944887,-0.350336504,0.208909223,0.095137948,0.013061228,-0.056495005,-0.060794195,-0.039971369,-0.036822411,-0.004769428,-0.039033674
Home_Avg_Fouls_Committed,-0.047118572,0.041653481,-0.061017472,-0.179789525,-0.028775501,-0.422082313,-0.47390519,0.061759048,0.005682948,0.037003755,0.032408752,-0.055459563,0.045827837,0.040658712,0.090074735,0.033661681,-0.105397811,-0.00613925,-0.057003093,0.002946705,0.020014563,-0.002668921,0.001545883,0.035882572,0.118187624,0.078678848,-0.217662053,-0.563902177,-0.032866715,0.18639727,0.270767032,0.137313659,0.000318425,-0.024799006,0.015997438,-0.031177087,0.015361551,0.011857571,-0.009171164,-0.037315921,-0.014181332,-0.006198957,-0.011799392,0.018474867,0.007389313
Home_Avg_Foul_Diff,-0.039768141,0.036711739,-0.082714234,-0.169389243,-0.008221336,-0.399656774,-0.452306523,0.097649575,-0.042484691,0.085277514,0.04193019,-0.041910032,0.108963058,0.075309656,0.187669482,0.148117515,-0.177733649,-0.051629462,-0.04964033,0.006222225,-0.016786971,-0.033555147,-0.017636437,-0.009008401,-0.103859557,-0.037679467,0.22431682,0.54748144,0.013801941,-0.171548107,-0.234815256,-0.099931056,0.037241445,0.034694605,-0.025239748,0.020047288,-0.008106076,-0.002204804,-0.000810103,0.025927374,0.009752711,0.008125485,0.007257538,-0.012412289,-0.005379638
Home_Avg_Tie,-0.02854611,0.015462421,0.053662033,0.028408847,-0.045252413,0.027021477,-0.049755576,0.250765281,0.686140025,-0.278366092,-0.293124691,-0.163453348,-0.159092154,-0.016597901,-0.010410161,-0.042411364,-0.146310933,-0.157232366,0.107239813,0.002768738,-0.032516574,-0.088305138,0.170285497,0.135097439,0.149938081,-0.058722042,0.054666616,0.035387498,0.063143792,0.010431362,0.009523166,-0.051741399,0.21130701,0.029248533,-0.024002956,0.095482268,0.038551935,0.088149207,-0.061939092,-0.115144854,0.039046013,0.023470601,-0.04998841,0.040633755,-0.012811634
Day_Diff,-0.017831419,0.013471968,-0.020983779,-0.074613194,-0.01894196,0.043783268,0.047146578,0.131536913,0.142712096,0.355866419,0.023703028,-0.518940373,0.112988659,-0.337978269,-0.211571649,0.497947758,0.193616795,0.294446631,0.024687888,0.059546079,-0.003719365,0.062981573,-0.001151143,-0.000672228,0.020617446,0.029895796,0.01207295,-0.01672409,-0.008195046,-0.013548157,-0.00890077,-0.003146753,0.005919652,0.004007027,-0.002119942,-0.012474466,0.000194154,-0.015874831,-0.007654406,-0.010862113,0.000809614,0.005360929,-0.004765734,0.003387527,-0.001535642
Home_Last_Yellow,-0.014004255,0.001967439,-0.038363897,-0.034586199,-0.008453307,-0.2071076,-0.291615682,-0.069590158,0.121473686,-0.104895878,-0.061820131,0.16129724,-0.034355917,-0.165525662,-0.383347807,-0.365110966,0.664092107,0.180920618,0.040407329,-0.030386162,-0.033586897,0.056913918,0.037180253,-0.026526946,-0.049680558,-0.031849737,0.032718697,0.086359564,0.033181313,-0.016217708,-0.04850719,-0.030480444,-0.001803673,0.010502108,-0.00639535,-0.002175553,-0.005657884,0.009747732,0.00326819,0.010578759,3.87E-05,0.001734826,-0.001030455,-0.003774671,0.001468544
Home_Last_Red,-0.011054424,0.016095731,0.040281791,-0.005769233,0.022478397,-0.019639135,-0.014545256,-0.199133231,-0.048238915,0.103402463,0.173153271,-0.503342196,-0.576139095,0.16136876,0.36478238,-0.168739778,0.311340773,-0.146967291,-0.058913458,0.060718825,0.071035455,-0.077166075,0.008874924,-0.025343784,0.028315445,-0.000658219,0.009624348,0.027104899,0.031452505,-0.010324777,-2.96E-05,-0.013866701,0.003852425,-0.018936621,0.002318636,0.01540023,0.000675253,0.015822529,-0.001470788,-0.005151428,0.006232599,0.006281854,0.003938519,-0.003518221,-0.002290327
distance,-0.002466165,0.0428226,0.021524922,0.072194014,-0.062831696,-0.055001559,0.083493555,-0.200794697,-0.007153548,0.072135939,-0.288032049,-0.150782439,0.506042902,-0.421194049,0.466036574,-0.252614396,0.143555041,-0.245145128,0.083417177,0.007896662,-0.080909564,-0.055116814,0.025259971,0.034192874,-0.023687011,0.099225577,-0.012021282,-0.007264934,0.02471696,0.013581754,0.009433203,-0.002881959,0.009896481,-0.01851982,-0.009654443,-0.030920003,-0.009708489,-0.015838369,-0.008354652,-0.004588668,-0.004134299,0.0013713,-0.004503738,-0.004234891,-0.013606045
