"","matchId","Match_Date","Unix_Date","Match_Hour","Match_Day","Match_Result","Day_Diff","Home_Last_Yellow","Home_Last_Red","Away_Last_Yellow","Away_Last_Red","Home_Avg_Goal_Scored","Home_Avg_HT_Goal_Scored","Home_Avg_Win","Home_Avg_Tie","Home_Avg_Shots_Made","Home_Avg_SoT_Made","Home_Avg_Fouls_Committed","Home_Avg_Corners","Home_Avg_Goal_Diff","Home_Avg_HT_Goal_Diff","Home_Avg_Shot_Diff","Home_Avg_SoT_Diff","Home_Avg_Foul_Diff","Home_Avg_Corner_Diff","Away_Avg_Goal_Scored","Away_Avg_HT_Goal_Scored","Away_Avg_Win","Away_Avg_Tie","Away_Avg_Shots_Made","Away_Avg_SoT_Made","Away_Avg_Fouls_Committed","Away_Avg_Corners","Away_Avg_Goal_Diff","Away_Avg_HT_Goal_Diff","Away_Avg_Shot_Diff","Away_Avg_SoT_Diff","Away_Avg_Foul_Diff","Away_Avg_Corner_Diff","distance","Home_ELO","Away_ELO","Odd_Open_odd1_Betclic","Odd_Open_odd1_betathome","Odd_Open_odd2_Betclic","Odd_Open_odd2_betathome","Odd_Open_oddX_Betclic","Odd_Open_oddX_betathome","Odd_Close_odd1_Betclic","Odd_Close_odd1_betathome","Odd_Close_odd2_Betclic","Odd_Close_odd2_betathome","Odd_Close_oddX_Betclic","Odd_Close_oddX_betathome"
"952","YFuSc1rf",2015-04-12,1428854400,16,1,"Home",2,0,0,1,0,2,1.2,0.933333333333333,0,12.3333333333333,4.66666666666667,13.4666666666667,4.66666666666667,1.53333333333333,1.13333333333333,5.46666666666667,2.86666666666667,3.06666666666667,2.26666666666667,1.86666666666667,1.2,0.6,0,26.4666666666667,9.2,9.33333333333333,7.06666666666667,1.33333333333333,1.06666666666667,19.6,7,3.86666666666667,4.66666666666667,0,1841.83581543,1870.44592285,2.6,2.47,2.65,2.75,3.25,3.32,2.7,2.6,2.7,2.65,3.1,3.24
"953","YJFEaveN",2018-04-07,1523113200,15,7,"Tie",0,2,0,4,0,1.66666666666667,0.933333333333333,0.533333333333333,0.133333333333333,13.2666666666667,5.06666666666667,13.6,4,0.333333333333333,0.6,0.466666666666667,1.53333333333333,4.6,-4.26666666666667,0.533333333333333,0.133333333333333,0.2,0.266666666666667,13.7333333333333,3.53333333333333,9.66666666666667,5.26666666666667,-0.733333333333333,-0.466666666666667,3.26666666666667,-0.4,-0.2,0.133333333333333,206.24,1621.16625977,1548.34228516,1.9,1.99,4.3,4,3.2,3.26,1.68,1.69,5.5,5.48,3.4,3.49
"954","YLI8rMlB",2015-09-13,1442151000,13,1,"Away",0,1,0,4,0,1.13333333333333,0.133333333333333,0,0.4,9.66666666666667,3.6,12.2,3.73333333333333,-1.2,-1.46666666666667,-10.9333333333333,-4.2,2.73333333333333,-2.2,1.13333333333333,0.666666666666667,0.2,0.6,14.4,5.26666666666667,12.8,4.86666666666667,0.0666666666666667,0.466666666666667,1.86666666666667,2.26666666666667,3.13333333333333,2.26666666666667,240.58,1579.81945801,1713.93444824,4.1,3.92,1.85,1.86,3.6,3.59,4.4,4.04,1.8,1.87,3.5,3.48
"955","YLYhjVfJ",2014-04-26,1398524400,15,7,"Home",-2,1,0,1,0,2,1.66666666666667,0.333333333333333,0.533333333333333,10.4666666666667,5,11.6,3,0.0666666666666667,0.8,-4.2,-0.666666666666667,0.8,-0.533333333333333,1.26666666666667,0.933333333333333,0.333333333333333,0,11,2.6,11.6,4,-0.733333333333333,0.2,-5.8,-4.46666666666667,0.6,-1.13333333333333,102.96,1647.9753418,1657.73034668,2,2,3.6,3.6,3.4,3.4,1.8,1.85,4.3,4.2,3.5,3.5
"956","YN5QGxVL",2018-02-11,1518358500,14,1,"Home",-1,1,0,2,0,0.933333333333333,0,0.133333333333333,0.6,11.2666666666667,4.13333333333333,12.0666666666667,4,-0.4,-0.266666666666667,-1.73333333333333,-0.666666666666667,1.73333333333333,-4.86666666666667,1.13333333333333,0.4,0.6,0.0666666666666667,13,4.33333333333333,12.4666666666667,4.73333333333333,0.466666666666667,-0.266666666666667,-2.13333333333333,0.6,2.93333333333333,-0.0666666666666667,106.42,1619.86804199,1903.05444336,6.75,6.41,1.48,1.53,4.1,4.02,6.25,5.59,1.55,1.59,3.8,3.95
"957","YNFR0JW2",2016-03-19,1458408600,17,7,"Home",1,0,0,0,0,1.13333333333333,0.533333333333333,0.6,0.0666666666666667,11.2666666666667,2.8,12.4666666666667,5.13333333333333,0.266666666666667,0.266666666666667,-5.53333333333333,-2.86666666666667,0.6,1,0.6,0.0666666666666667,0.0666666666666667,0,6.86666666666667,2.2,10.4666666666667,2.86666666666667,-2.73333333333333,-0.733333333333333,-7.6,-4.73333333333333,1.93333333333333,-6,104.48,1645.10717773,1524.42456055,1.52,1.49,5.75,6.48,4.15,4.06,1.62,1.64,5.25,5.39,3.75,3.63
"958","YNHDjPWB",2014-02-01,1391266800,15,7,"Home",1,3,0,1,0,1.33333333333333,0.733333333333333,0.4,0.533333333333333,16.6,4.6,10,5.33333333333333,0.6,0.666666666666667,4.26666666666667,0.333333333333333,-4.6,1.73333333333333,1.26666666666667,1,0.2,0.466666666666667,11.1333333333333,4,13.8666666666667,2.93333333333333,-0.133333333333333,0,-2.13333333333333,-0.133333333333333,3.46666666666667,-2.46666666666667,77.92,1819.75268555,1672.24133301,1.33,1.35,9,8.5,4.8,4.7,1.55,1.5,6,6.25,3.8,4.1
"959","YNNQ40xe",2014-12-06,1417878000,15,7,"Tie",-1,1,0,2,0,1.73333333333333,0.733333333333333,0.733333333333333,0,16.8,5.46666666666667,13.4666666666667,6.26666666666667,0.466666666666667,-0.4,6.46666666666667,2.2,2.8,2.6,1.4,0.733333333333333,0.266666666666667,0.4,10.6,3.73333333333333,14.1333333333333,5.53333333333333,0.0666666666666667,0,-5.4,-0.0666666666666667,4.4,0.533333333333333,0,1762.45092773,1612.0736084,1.58,1.53,6,6.27,3.75,3.9,1.5,1.63,7,5.24,3.9,3.76
"960","YNccR3Ng",2016-03-02,1456948800,20,4,"Home",0,1,0,1,0,1.86666666666667,0.333333333333333,0.2,0.4,15.6666666666667,4.53333333333333,7.4,7.4,-0.466666666666667,-0.2,6.8,0.8,-3.06666666666667,4.6,1.53333333333333,0.733333333333333,0.4,0.266666666666667,15.8666666666667,3.33333333333333,11.6666666666667,6.6,0.133333333333333,0.2,4.6,-0.666666666666667,1,1,31.07,1743.33227539,1858.24951172,2.6,2.63,2.55,2.59,3.4,3.29,2.7,2.69,2.55,2.53,3.25,3.3
"961","YNerypXO",2014-01-28,1390939200,20,3,"Home",2,1,0,2,0,2.73333333333333,1.46666666666667,0.666666666666667,0,13.8666666666667,6.53333333333333,12,3.26666666666667,1,0.133333333333333,1.33333333333333,3.2,-0.933333333333333,-3.53333333333333,1.46666666666667,0.533333333333333,0.6,0.266666666666667,18.1333333333333,5.13333333333333,9.2,7.06666666666667,0.8,0.4,6.46666666666667,1.66666666666667,-4.2,3.73333333333333,0,1836.84545898,1832.61413574,1.75,1.8,4.5,4.25,3.6,3.55,1.72,1.75,4.5,4.4,3.75,3.65
"962","YNqdKuxr",2014-12-14,1418563800,13,1,"Home",-2,1,0,1,0,2,0.866666666666667,0.933333333333333,0,12.6,3.8,9.13333333333333,5.26666666666667,1.4,0.533333333333333,3.4,-0.4,-3.4,1.4,1.6,0.666666666666667,0.6,0,12.3333333333333,2.73333333333333,10,4.06666666666667,0.333333333333333,0,-3.73333333333333,-1.53333333333333,-2.73333333333333,-1.8,31.07,1840.97546387,1796.9296875,1.72,1.94,4.75,3.72,3.5,3.5,1.82,1.83,4.25,4.19,3.5,3.5
"963","YNscZJ7a",2016-11-21,1479758400,20,2,"Home",-1,2,0,1,0,0.666666666666667,0.133333333333333,0,0.4,9.06666666666667,2.53333333333333,14.5333333333333,2.93333333333333,-1.6,-1.06666666666667,-9.26666666666667,-4,5.26666666666667,-3,0.866666666666667,0.333333333333333,0.333333333333333,0.333333333333333,8.13333333333333,1.73333333333333,10.2666666666667,2.4,-0.133333333333333,0.333333333333333,-19.5333333333333,-7.46666666666667,-1.33333333333333,-8.86666666666667,91.8,1651.9152832,1649.09082031,1.92,1.94,3.8,4,3.4,3.29,1.85,1.85,4.75,4.49,3.25,3.26
"964","YR7P7N6A",2013-12-14,1387033200,15,7,"Tie",0,2,0,0,0,1.2,0.8,0.666666666666667,0,14.6666666666667,4.66666666666667,11.1333333333333,3.06666666666667,-0.266666666666667,0.466666666666667,-0.4,0.333333333333333,3,-2.4,1.53333333333333,0.733333333333333,0.133333333333333,0.0666666666666667,14.0666666666667,5.13333333333333,11.7333333333333,6.06666666666667,-0.866666666666667,0.133333333333333,4.06666666666667,1,-1.46666666666667,1.26666666666667,281.1,1720.91394043,1689.60168457,2.4,2.3,2.85,2.95,3.3,3.35,2.25,2.25,3.2,3.1,3.2,3.3
"965","YRuEyblb",2018-01-14,1515936600,13,1,"Home",2,1,0,3,0,1.46666666666667,0.6,0.333333333333333,0.266666666666667,16,5.93333333333333,8.73333333333333,5.26666666666667,-1.06666666666667,-0.333333333333333,5.13333333333333,2.2,-3.2,1.4,1.86666666666667,0.4,0.4,0.6,15.6666666666667,5.4,9,5.86666666666667,0.4,0.2,2.2,1.8,-2.86666666666667,0.533333333333333,95.47,1645.11218262,1839.73376465,6,5.61,1.55,1.56,3.9,4.19,3.6,3.52,1.95,2.01,3.6,3.59
"966","YTK0C0cm",2015-04-07,1428435900,19,3,"Tie",0,1,0,3,0,1.53333333333333,1.33333333333333,0.466666666666667,0,12.8666666666667,5.26666666666667,12.6,4.06666666666667,0.733333333333333,1.13333333333333,3.46666666666667,1.46666666666667,2.6,-1.46666666666667,1,0.0666666666666667,0,0,12.8666666666667,3.2,13.3333333333333,2.33333333333333,-1.26666666666667,-1.33333333333333,-0.133333333333333,-1.66666666666667,0.133333333333333,-2.4,102.96,1572.47900391,1546.71496582,2.1,2.07,3.5,3.46,3.3,3.36,2.05,2.03,3.6,3.68,3.25,3.26
"967","YTbhSllf",2014-01-12,1389535500,14,1,"Away",0,0,1,5,0,2.13333333333333,0.8,0.533333333333333,0.133333333333333,16.2,5.2,11.3333333333333,6.6,1.4,0.533333333333333,6.2,1.26666666666667,1.46666666666667,4.46666666666667,2.53333333333333,1.26666666666667,0.933333333333333,0.0666666666666667,20.2,6.06666666666667,11.8666666666667,8,1.4,0.8,9,1.33333333333333,4.53333333333333,2.53333333333333,106.42,1724.34936523,1943.9317627,5,4.7,1.65,1.7,3.75,3.65,5.5,5.4,1.55,1.55,4,4.1
"968","YViaHWTN",2016-08-19,1471636800,20,6,"Home",-1,1,0,1,0,2,0.533333333333333,0.6,0.133333333333333,11.6666666666667,4.06666666666667,12.8,5.53333333333333,0.733333333333333,0.133333333333333,0.2,1.66666666666667,4.53333333333333,2.6,3.26666666666667,1.26666666666667,0.933333333333333,0.0666666666666667,14.9333333333333,4.8,11.1333333333333,4.93333333333333,1.93333333333333,0.666666666666667,0.466666666666667,-0.2,0.933333333333333,-0.8,181.08,1797.49377441,1774.19848633,1.5,1.45,7.25,7,3.9,4.24,1.55,1.53,6.75,6.06,3.75,3.98
"969","YauvE4F8",2014-12-06,1417878000,15,7,"Tie",1,2,0,1,0,0.8,0.466666666666667,0.333333333333333,0.0666666666666667,12.8666666666667,2.73333333333333,10,4.66666666666667,-0.533333333333333,0,-0.733333333333333,-1.53333333333333,-3.86666666666667,-0.466666666666667,0.6,0.133333333333333,0.133333333333333,0.8,10.4666666666667,4.06666666666667,13,4.53333333333333,0.133333333333333,0.0666666666666667,-6.4,-0.866666666666667,0.0666666666666667,-2.2,122.52,1809.65270996,1646.02819824,1.58,1.53,5.25,6.07,4,3.96,1.45,1.45,6.75,7.08,4.4,4.16
"970","Yc2D9U6P",2014-11-09,1415539800,13,1,"Away",0,1,0,4,0,2,0.533333333333333,0.2,0.6,12.7333333333333,3.73333333333333,10.6666666666667,4.8,0.4,-0.333333333333333,-1.4,-1.86666666666667,1.46666666666667,-1,1.46666666666667,0.2,0.6,0.266666666666667,13.3333333333333,3.66666666666667,13.2,5.13333333333333,0.466666666666667,-0.466666666666667,1.33333333333333,0.866666666666667,0.6,-1.06666666666667,172.87,1631.38330078,1638.09667969,2.25,2.23,3,3.13,3.4,3.31,2.1,2.08,3.5,3.58,3.2,3.24
"971","YcMZsFTK",2018-03-03,1520098200,17,7,"Home",0,0,0,4,0,2.06666666666667,1.4,0.6,0.266666666666667,14.4,4.53333333333333,10.1333333333333,3.46666666666667,1.2,1.2,6.8,0.866666666666667,3.33333333333333,-0.4,1,0.266666666666667,0.333333333333333,0.533333333333333,10.6666666666667,4.73333333333333,11.2,3.26666666666667,0.0666666666666667,0.133333333333333,-4.8,-0.8,-1.06666666666667,-4.93333333333333,121.86,1915.98779297,1643.48376465,1.22,1.25,12,10.31,6,6.09,1.18,1.18,14,13.96,6.5,6.95
"972","YcSk5bLh",2014-05-11,1399820400,15,1,"Tie",3,1,0,1,0,1.06666666666667,0.866666666666667,0.4,0.266666666666667,11.4666666666667,4.13333333333333,11.4,4.8,0.333333333333333,0.466666666666667,3.33333333333333,1.2,1.46666666666667,-0.866666666666667,1.86666666666667,0.533333333333333,0.466666666666667,0,15.8,4.93333333333333,10.2,5.66666666666667,1.06666666666667,-0.266666666666667,4.8,2.46666666666667,-1.2,2.8,181.08,1711.67529297,1856.9362793,2.65,2.65,2.45,2.5,3.5,3.45,2.7,2.75,2.3,2.4,3.75,3.5
"973","YeBBLG3J",2015-10-17,1445103000,17,7,"Away",1,1,0,1,0,0.733333333333333,0.533333333333333,0.466666666666667,0.0666666666666667,13.6666666666667,2.93333333333333,13.3333333333333,4.26666666666667,-0.133333333333333,0.533333333333333,-0.6,-1,-0.866666666666667,-0.333333333333333,2.2,0.866666666666667,0.666666666666667,0.0666666666666667,21.0666666666667,8.46666666666667,9.33333333333333,7.26666666666667,1,0.533333333333333,6.93333333333333,2.93333333333333,-2.33333333333333,3.2,17.22,1572.95666504,1808.48388672,5.6,5.08,1.58,1.66,3.9,3.7,6.25,5.8,1.48,1.51,4.2,4.24
"974","Yg4R5PCd",2014-05-03,1399129200,15,7,"Away",0,1,0,0,0,1.2,0.666666666666667,0.466666666666667,0.0666666666666667,10.2666666666667,3.2,11.5333333333333,5.33333333333333,0.266666666666667,0.133333333333333,-4.86666666666667,-0.533333333333333,2.93333333333333,-0.933333333333333,0.866666666666667,0.466666666666667,0.133333333333333,0.333333333333333,10.9333333333333,4.46666666666667,10.3333333333333,5.26666666666667,-0.4,-0.2,2.66666666666667,0.8,1.6,0.133333333333333,120.71,1663.85754395,1703.37011719,2.3,2.3,2.9,3,3.4,3.3,2.35,2.3,3,3,3.25,3.3
"975","Yg4ioObl",2015-04-05,1428240600,13,1,"Tie",0,0,0,2,0,0.533333333333333,0.0666666666666667,0.333333333333333,0.133333333333333,10.5333333333333,3.66666666666667,10.2666666666667,4.66666666666667,-0.533333333333333,-0.466666666666667,-6,-1.66666666666667,1.33333333333333,-1,1.53333333333333,0.533333333333333,0.466666666666667,0.133333333333333,13.6666666666667,4.73333333333333,11.2666666666667,4.6,-0.6,-0.866666666666667,0.8,0,-0.6,0.133333333333333,181.86,1568.27612305,1746.90930176,3.6,3.65,2,1.99,3.5,3.4,3.2,3.14,2.25,2.2,3.25,3.37
"976","YgOIuymM",2017-01-21,1485019800,17,7,"Tie",-1,2,0,0,0,1.66666666666667,0.0666666666666667,0.733333333333333,0,13,3.86666666666667,11.9333333333333,7.06666666666667,0.933333333333333,-0.333333333333333,4.86666666666667,1.73333333333333,-0.2,2.26666666666667,3,1.53333333333333,1,0,17.2666666666667,5.06666666666667,9.53333333333333,4.93333333333333,2.4,1.2,8.86666666666667,2.86666666666667,0.133333333333333,1.93333333333333,163.51,1829.72473145,1848.39660645,1.82,1.8,4.4,4.06,3.6,3.72,2.05,2.06,3.4,3.46,3.4,3.4
"977","YiaZOqB4",2016-01-02,1451746800,15,7,"Home",0,2,0,0,0,1.4,1.13333333333333,0.6,0.0666666666666667,9,4.6,7.06666666666667,4.2,-0.4,0.6,-6.86666666666667,0.266666666666667,-4.13333333333333,-0.4,1,0.333333333333333,0.333333333333333,0.266666666666667,8.33333333333333,2.46666666666667,12.2,2.13333333333333,-0.133333333333333,-0.0666666666666667,-7.6,-4,0.0666666666666667,-4.66666666666667,247.33,1843.89025879,1582.12133789,1.25,1.28,11,9.29,5.4,5.52,1.25,1.2,11,12.17,5.5,6.4
"978","YoS9XU7q",2013-11-02,1383404400,15,7,"Tie",0,6,0,0,0,0.133333333333333,0.133333333333333,0,0.4,10.8,2.6,13.1333333333333,5.8,-0.733333333333333,-0.333333333333333,0,-1.46666666666667,2.66666666666667,0.266666666666667,1.4,0.266666666666667,0.6,0.4,14.2,5.26666666666667,14,6.26666666666667,1.06666666666667,-0.0666666666666667,2.33333333333333,1,4.66666666666667,2.4,150.08,1655.32067871,1696.91906738,3,3.1,2.4,2.3,3.1,3.2,2.85,3.1,2.5,2.4,3.1,3
"979","YsMZ3zQS",2016-02-07,1454860800,16,1,"Tie",-1,1,0,2,0,1.93333333333333,0.666666666666667,0.466666666666667,0.533333333333333,12.4,5,12.5333333333333,6.46666666666667,0.733333333333333,0.466666666666667,2.53333333333333,1.73333333333333,2.26666666666667,1,1.13333333333333,0.4,0.4,0.266666666666667,10.2666666666667,2.33333333333333,13.8,3.86666666666667,0.0666666666666667,0.2,-1.66666666666667,-1.33333333333333,5.8,-0.266666666666667,163.51,1805.14770508,1783.29077148,2.05,2.01,3.5,3.73,3.3,3.28,2.1,2.12,3.7,3.61,3.1,3.12
"980","YuLnjc3i",2018-01-13,1515855600,15,7,"Home",-1,2,0,2,0,0.666666666666667,0,0,0.666666666666667,14.6,3.93333333333333,12.8666666666667,7.8,-0.533333333333333,-0.666666666666667,4.26666666666667,0.0666666666666667,2.6,4.33333333333333,0.2,0,0.2,0.466666666666667,10.3333333333333,2.4,9.46666666666667,4.66666666666667,-0.466666666666667,-0.0666666666666667,-5.73333333333333,-1.93333333333333,-0.6,-1.53333333333333,136.32,1618.02160645,1610.05883789,2.05,2.02,3.75,4.31,3.15,3,2.1,2.11,4,3.99,2.9,2.98
"981","YuqpRyYS",2017-01-14,1484406000,15,7,"Away",1,2,0,1,0,0.8,0,0.2,0,9.73333333333333,3.4,9.6,3.73333333333333,-1.66666666666667,-0.733333333333333,-7.8,-2.93333333333333,0.866666666666667,-2.93333333333333,1.4,0.733333333333333,0,0.333333333333333,7.93333333333333,3.33333333333333,8.33333333333333,4.2,-1.6,-0.2,-9.6,-3.13333333333333,-2.4,-4.33333333333333,133.94,1602.86364746,1668.38830566,2.5,2.63,2.65,2.68,3.4,3.15,3.25,3.19,2.2,2.19,3.3,3.33
"982","YwIuPkAB",2015-11-01,1446393600,16,1,"Home",0,0,1,0,0,2.33333333333333,1.26666666666667,0.466666666666667,0.4,14.6666666666667,6.06666666666667,13.8,5.4,0.8,0.866666666666667,-0.733333333333333,1.66666666666667,1.86666666666667,0.466666666666667,1.13333333333333,0.866666666666667,0.133333333333333,0.266666666666667,9.53333333333333,3.93333333333333,8.6,6.26666666666667,-1.4,-1,-2,-1.8,-3.8,3.86666666666667,23.96,1692.4465332,1557.47729492,1.58,1.55,5.6,5.61,3.9,4.07,1.5,1.52,6.5,6.02,4.1,4.1
"983","Ywbc5rRo",2018-03-31,1522508400,15,7,"Home",7,0,0,3,0,0.933333333333333,0.666666666666667,0.2,0.466666666666667,10.7333333333333,3.66666666666667,10.1333333333333,2.53333333333333,-0.466666666666667,0.333333333333333,-4.86666666666667,-0.8,-0.866666666666667,-5.2,0.933333333333333,0.266666666666667,0.333333333333333,0.333333333333333,16.2666666666667,4.06666666666667,9.8,5.26666666666667,-0.0666666666666667,-0.133333333333333,8.26666666666667,0.866666666666667,1.06666666666667,0.8,91.92,1644.75048828,1549.35290527,1.95,1.81,3.9,4.63,3.4,3.42,1.72,1.72,5.25,5.14,3.4,3.51
