"","Comp.1","Comp.2","Comp.3"
"Home_Avg_Win",0.000866596973036382,0.0011385563236659,0.000118114633758924
"Odd_Open_oddX_Betclic",0.00446708701588405,0.00284411800307505,0.000472482820869924
"Odd_Open_oddX_betathome",0.00447108950378644,0.00314639716252826,0.000448301973696007
"Odd_Close_odd1_Betclic",-0.0130169915364038,0.001414910768883,-0.000430336457906705
"Away_Avg_SoT_Made",-0.00617921305432816,0.0055986952178908,0.00151524385037207
"Home_Avg_Corner_Diff",0.00670283563265286,0.00938116699765952,0.0033057109309809
"Home_Avg_SoT_Made",0.00513904060783933,0.00619038264556081,0.00176029592468431
"Away_Avg_Foul_Diff",0.00146152400493188,-0.00250087313062446,-0.00171279568119447
"Odd_Open_odd1_betathome",-0.0123248358475031,0.00131302074805982,1.6245051892136e-05
"Away_Avg_Shots_Made",-0.0127839798393607,0.0115968393776831,0.0037127885040742
"Home_Last_Red",5.28503736432659e-08,-6.35875331746854e-05,-6.46255719691437e-05
"Away_Avg_Corners",-0.00400847220128277,0.00427160083181035,0.00165593535079891
"Odd_Close_oddX_Betclic",0.0043981159938162,0.00318515303866829,0.00088431697124976
"distance",0.019671414582037,-0.162997671804963,0.986423324122771
"Home_Avg_HT_Goal_Scored",0.00111950258491012,0.00130904221417562,-0.000176691301115358
"Odd_Close_odd2_betathome",0.0253228398283918,0.00582231111358537,0.00164094341697351
"Home_Avg_Corners",0.00318507660083683,0.00501115615755296,0.00190121458551133
"Away_Avg_SoT_Diff",-0.0102550629331496,0.00958484043176184,0.00269912448283146
"Home_ELO",0.65549378780496,0.746522190519026,0.110206888699607
"Home_Last_Yellow",-3.79809761222773e-05,9.94303229137193e-05,-0.000156193080269222
"Away_ELO",-0.753996405557263,0.644696792218427,0.121542693637059
